birdname,TaxonomyId,EnglishName,ScientificName,Count
European roller,29581,European Roller,Coracias garrulus,444
Hoopoe,30164,Hoopoe,Upupa epops,1561
Hoopoe,41860,Greater Hoopoe-Lark,Alaemon alaudipes,73
Hoopoe,30171,African Hoopoe,Upupa africana,17
Hoopoe,30183,Green Wood Hoopoe,Phoeniculus purpureus,15
Hoopoe,30172,Madagascan Hoopoe,Upupa marginata,4
Hoopoe,30176,Forest Wood Hoopoe,Phoeniculus castaneiceps,1
Hoopoe,30194,Violet Wood Hoopoe,Phoeniculus damarensis,1
Hoopoe,47287,Hoopoe Starling,Fregilupus † varius †,0
Hoopoe,30162,Hoopoes,Upupidae,0
Hoopoe,30190,Black-billed Wood Hoopoe,Phoeniculus somaliensis,0
Hoopoe,30195,Grant's Wood Hoopoe,Phoeniculus granti,0
Hoopoe,41865,Lesser Hoopoe-Lark,Alaemon hamertoni,0
Hoopoe,30173,St. Helena Hoopoe,Upupa antaios ††,0
Hoopoe,30179,White-headed Wood Hoopoe,Phoeniculus bollei,0
Hoopoe,30174,Wood hoopoes,Phoeniculidae,0
Yellow-bellied sapsucker,31101,Yellow-bellied Sapsucker,Sphyrapicus varius,19
Great spotted woodpecker,31298,Great Spotted Woodpecker,Dendrocopos major,3493
Lesser spotted woodpecker,31233,Lesser Spotted Woodpecker,Dryobates minor,363
Eastern phoebe,36147,Eastern Phoebe,Sayornis phoebe,10
Acadian flycatcher,36236,Acadian Flycatcher,Empidonax virescens,15
Alder flycatcher,36237,Alder Flycatcher,Empidonax alnorum,10
Eastern kingbird,36579,Eastern Kingbird,Tyrannus tyrannus,26
Yellow-throated vireo,39771,Yellow-throated Vireo,Vireo flavifrons,10
Philadelphia vireo,39775,Philadelphia Vireo,Vireo philadelphicus,9
Red-eyed vireo,39734,Red-eyed Vireo,Vireo olivaceus,154
Golden oriole,39998,Golden Oriole,Oriolus oriolus,165
Golden oriole,39934,African Golden Oriole,Oriolus auratus,6
Golden oriole,39999,Indian Golden Oriole,Oriolus kundoo,5
Brown shrike,39507,Brown Shrike,Lanius cristatus,220
Isabelline shrike,39515,Isabelline Shrike,Lanius isabellinus,238
Isabelline shrike,196181,Isabelline shrike sp,Lanius isabellinus/phoenicuroides,8
Red-backed shrike,39512,Red-backed Shrike,Lanius collurio,1827
Long-tailed shrike,39525,Long-tailed Shrike,Lanius schach,53
Lesser grey shrike,39597,Lesser Grey Shrike,Lanius minor,422
Great grey shrike,39551,Great Grey Shrike,Lanius excubitor,1804
Woodchat shrike,39588,Woodchat Shrike,Lanius senator,997
